frame,fx,fy,cx,cy,cam_x,cam_y,cam_z,r11,r12,r13,r21,r22,r23,r31,r32,r33,recon_error,confidence
0,5905.458851936962,5905.458851936962,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8999139308135523,0.4360122023590213,-0.00694813080886339,-0.08679269072663096,0.19470641508004904,0.9770140432783488,0.42734289038678597,-0.878625501178239,0.21306168758168575,7.406099573944417,0.46486771073654753
1,5938.7241128979595,5938.7241128979595,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.899788101663582,0.43627114319785587,-0.006990115698868871,-0.08677890004152486,0.19463165726468545,0.9770301635558573,0.42761056419624466,-0.878513521582473,0.21298637934039677,5.581702774755754,0.7198179667791296
2,5968.666704552002,5968.666704552002,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8997113518166256,0.43643209105659525,-0.006820066588224427,-0.08691632949287603,0.19444762977561691,0.9770545895404874,0.42774412337259043,-0.8784743303993647,0.21287981527049893,6.3636837525238805,0.6021122680452416
3,6002.608515600525,6002.608515600525,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8996526981001505,0.43655342668928643,-0.0067917926176812304,-0.08686822242867567,0.19422025770785084,0.977104090375216,0.42787724259792304,-0.878464340278954,0.21265339904421993,6.86497836221656,0.5334810981515518
4,6033.042298325381,6033.042298325381,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8994942032892332,0.4368781102691786,-0.006906157882569708,-0.08678640599440152,0.19413212382269074,0.977128874936498,0.4282269234689039,-0.878322398250052,0.2125358010986258,6.574359178850512,0.572650868614222
5,6045.661385127893,6045.661385127893,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8993212939014249,0.43723380686048685,-0.006914367198333521,-0.08682368018768827,0.19403513913555615,0.9771448272079791,0.4285823828555403,-0.8781668195274358,0.2124621806038317,4.794936428368783,0.8527437936174834
6,6051.3462545861385,6051.3462545861385,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8992576346905827,0.437365672537277,-0.006853826428668358,-0.08684704808973834,0.19387724729346217,0.9771740905386351,0.4287112042958494,-0.8781360267452448,0.2123295124170856,4.468465839402891,0.9125851513406328
7,6077.128541351565,6077.128541351565,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8991535686802251,0.43758040478555493,-0.006800682122104884,-0.08688373888896686,0.19371860601059565,0.9772022910339423,0.42892199272861936,-0.8780640586158973,0.21220139754650214,4.599564915291294,0.8882087961237544
8,6092.47555065684,6092.47555065684,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8989402867623468,0.43801845670997885,-0.00679650035229129,-0.08696742984203418,0.19364510592952372,0.9772094141463308,0.4293518684975077,-0.8778618368120079,0.21216872645785217,4.711963729813301,0.8676809469746828
9,6062.803068806063,6062.803068806063,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8987265105162764,0.43845750831008923,-0.0067581581622134235,-0.0870761131709685,0.19354626715859136,0.9772193167268093,0.4297771629696885,-0.877664432386025,0.21212433692116195,5.771907143885592,0.6899285358762242
10,6039.663866807261,6039.663866807261,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8985327063563924,0.43885472924930047,-0.006745533587545316,-0.0871178298492088,0.19339034682087947,0.9772464671099429,0.43017375481335657,-0.8775002566221982,0.2119996233434273,5.223028575998001,0.7785105864096066
11,6040.03645928132,6040.03645928132,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.898339779344067,0.43924968252663493,-0.006734779009277464,-0.08715119901634666,0.1932229758891819,0.9772765985628338,0.4305697497015629,-0.8773394998452877,0.2118610220242374,6.110150836569765,0.6388002911603758
12,6057.6248104374645,6057.6248104374645,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8981571380917223,0.4396265909888187,-0.006497367962271322,-0.08746964106065552,0.19314374244612387,0.9772638111823366,0.4308860837711138,-0.8771681453686377,0.21192741107024682,6.064611976663139,0.6455364182352195
13,6038.595852362365,6038.595852362365,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8979736378187568,0.4400033912400682,-0.006353068533226258,-0.0876799755456164,0.19305062054747174,0.9772633625561516,0.43122565748209896,-0.8769996998879052,0.21193385460009911,4.908026579499173,0.8326764085390372
14,6033.908002371133,6033.908002371133,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8977792641647298,0.44039944303723383,-0.00638148950719436,-0.0876621109016899,0.1928655136060194,0.9773015133385122,0.431633811405103,-0.8768416186712288,0.21175700370453726,4.620566836882501,0.8843472759924391
15,6033.67940970945,6033.67940970945,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8976845771492332,0.4405917950524484,-0.006424179392250873,-0.08758029231230124,0.19269107377098077,0.9773432572476666,0.4318473021183464,-0.8767833371029858,0.21156296327962948,5.47140780851379,0.7375374738707351
16,6045.198644426978,6045.198644426978,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8975597024302726,0.4408448398497774,-0.006512123394453673,-0.08751565681187012,0.19261932748767713,0.9773631896541746,0.4321198796469186,-0.8766719009161974,0.21146817197373574,5.9893804391032965,0.6567641232129837
17,6064.281035703831,6064.281035703831,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8973944714444659,0.4411801489156974,-0.006575623440465389,-0.08747463142486706,0.19249779197863387,0.977390806658439,0.4324712146235763,-0.8765299060990867,0.21133852520526147,8.39704582134163,0.3525500161536539
18,6087.066111222818,6087.066111222818,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8972493357268465,0.44146826671866596,-0.007028443508325266,-0.08699333322564112,0.1923688140305565,0.9774591548309166,0.43286925221367417,-0.8764131496439873,0.21100758663868113,8.836743609040646,0.30772717319291976
19,6122.75457907395,6122.75457907395,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8971652569892332,0.44163846612029334,-0.007068726501826661,-0.08686644443619021,0.19211049932993096,0.9775212411391472,0.433068958114591,-0.8763840603811317,0.21071842877979008,7.400586567922705,0.46553954522197627
20,6126.574219761629,6126.574219761629,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8968797993159285,0.44221715441637366,-0.007114345992815657,-0.08696989421520984,0.19211352403751364,0.9775114482102414,0.4336390931168632,-0.8760915375814182,0.2107623180243841,7.792558054272531,0.4191059951148084
21,6118.714754816554,6118.714754816554,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8966444369442972,0.4426928174130112,-0.007198826833222455,-0.08694971804980106,0.1920069108815216,0.9775341900439063,0.43412958921030076,-0.8758746574622798,0.2106539441535092,6.991294710813452,0.51697181259633
22,6106.38553319528,6106.38553319528,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8964189715303575,0.4431475170786746,-0.007301067556342383,-0.08690837646397517,0.19190794500032926,0.9775572999810023,0.4346032231597604,-0.8756663855331874,0.21054315392904877,6.795897313909434,0.5426405801206938
23,6094.717703012848,6094.717703012848,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8961819877750832,0.44362548719615535,-0.007366946278774766,-0.08685561745707215,0.19169411605018355,0.9776039420889674,0.4351022253489992,-0.8754711834102321,0.21032417957675748,7.193883224484626,0.4911267894209316
24,6092.3859922958,6092.3859922958,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8959573459751993,0.444081307758321,-0.007226776095658888,-0.08702539590318148,0.19148779548889566,0.9776292777155857,0.4355307275738096,-0.8752852199588788,0.21021124865374313,6.773419565809698,0.5456410594035608
25,6060.4847096055,6060.4847096055,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8957351828147448,0.44453331748772706,-0.006972224264318844,-0.0872938756244678,0.19123117704264964,0.9776555713569801,0.4359337811483486,-0.8751118594615428,0.21009752945588217,4.500333200120848,0.9066164240012127
26,6048.268051653109,6048.268051653109,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8955310321720733,0.4449419922007404,-0.007126990476865741,-0.0870768050144585,0.19091993111187838,0.9777357567015279,0.4363963799635545,-0.8749721158303685,0.2097188500684502,4.1295232015534165,0.9778324977700482
27,6051.718660500699,6051.718660500699,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8955389233370263,0.44492273443647723,-0.007334655406190965,-0.08658389151727533,0.19039636124254183,0.977881616227304,0.43647825434732057,-0.8750959867392648,0.20903049412645086,6.605749302785655,0.5683388993560049
28,6040.734965463779,6040.734965463779,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8953441338909303,0.4453108270729338,-0.00755970890441629,-0.08629341623165562,0.19010413201518556,0.9779641431595655,0.4369351533376207,-0.8749621056265079,0.20863601198129095,7.215257132425496,0.4884447255688915
29,6024.678158289514,6024.678158289514,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8951116609086457,0.4457766660713911,-0.007634035082529689,-0.08616811449350137,0.18977321618421983,0.9780394585412862,0.4374359045048779,-0.8747967137600443,0.20827995353520345,5.841552726509415,0.6791918570212402
30,6059.552726054667,6059.552726054667,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8949187930604345,0.44616356347030567,-0.007643851040795152,-0.08608464539507649,0.18942677380560297,0.9781139663622053,0.43784676275434453,-0.8746745520461195,0.20792941193698705,5.733990352633643,0.6958203066328155
31,6078.366298518805,6078.366298518805,959.4999999999854,539.4999999999918,1.915216181116944,84.68168266381842,-19.070093815386457,0.8947339956478007,0.4465353069143115,-0.007569459099777492,-0.08603390471917866,0.18897039866881887,0.9782067039566428,0.43823423448070875,-0.8745835626776263,0.20749541590892523,5.102242006122507,0.7989838747878529
