frame,x,y,w,h,center_x,center_y,diameter,air_ground
0,91.0,919.0,28.0,28.0,106.0,936.0,25.0,ground
1,92.0,919.0,27.0,28.0,106.0,936.0,25.0,ground
2,91.0,919.0,28.0,28.0,105.0,935.0,22.0,ground
3,93.0,921.0,25.0,26.0,105.0,934.0,25.0,ground
4,92.0,922.0,26.0,26.0,105.0,935.0,26.0,ground
5,93.0,922.0,25.0,26.0,105.0,935.0,25.0,ground
6,94.0,925.0,24.0,24.0,106.0,937.0,24.0,ground
7,94.0,924.0,23.0,25.0,105.0,936.0,23.0,ground
8,93.0,925.0,24.0,24.0,105.0,937.0,24.0,ground
9,94.0,925.0,23.0,24.0,105.0,937.0,23.0,ground
10,107.0,917.0,21.0,21.0,117.0,927.0,21.0,air
11,110.0,917.0,19.0,20.0,119.0,927.0,19.0,air
12,149.0,884.0,21.0,21.0,159.0,894.0,21.0,air
13,175.0,857.0,23.0,22.0,186.0,868.0,22.0,air
14,208.0,836.0,24.0,23.0,220.0,847.0,23.0,air
15,234.0,815.0,21.0,21.0,244.0,825.0,21.0,air
16,259.0,793.0,22.0,23.0,270.0,804.0,22.0,air
17,260.0,790.0,23.0,25.0,271.0,802.0,23.0,air
18,287.0,771.0,26.0,21.0,300.0,781.0,21.0,air
19,312.0,751.0,25.0,22.0,324.0,762.0,22.0,air
20,341.0,733.0,22.0,23.0,352.0,744.0,22.0,air
21,364.0,709.0,27.0,23.0,377.0,720.0,23.0,air
22,382.0,694.0,27.0,23.0,395.0,705.0,23.0,air
23,385.0,692.0,25.0,26.0,397.0,705.0,25.0,air
24,409.0,679.0,21.0,21.0,419.0,689.0,21.0,air
25,429.0,659.0,23.0,24.0,440.0,671.0,23.0,air
26,447.0,639.0,29.0,24.0,461.0,651.0,24.0,air
27,471.0,627.0,25.0,21.0,483.0,637.0,21.0,air
28,490.0,613.0,24.0,23.0,502.0,624.0,23.0,air
29,489.0,610.0,26.0,27.0,502.0,623.0,26.0,air
30,506.0,599.0,25.0,23.0,518.0,610.0,23.0,air
31,525.0,582.0,25.0,24.0,537.0,594.0,24.0,air
32,540.0,569.0,25.0,24.0,552.0,581.0,24.0,air
33,557.0,558.0,25.0,24.0,569.0,570.0,24.0,air
34,576.0,546.0,25.0,23.0,588.0,557.0,23.0,air
35,574.0,544.0,24.0,26.0,586.0,557.0,24.0,air
36,590.0,534.0,24.0,26.0,602.0,547.0,24.0,air
37,604.0,527.0,23.0,23.0,615.0,538.0,23.0,air
38,617.0,513.0,23.0,25.0,628.0,525.0,23.0,air
39,630.0,507.0,20.0,20.0,640.0,517.0,20.0,air
40,637.0,494.0,26.0,24.0,650.0,506.0,24.0,air
41,639.0,499.0,22.0,22.0,650.0,510.0,22.0,air
42,652.0,491.0,22.0,21.0,663.0,501.0,21.0,air
43,658.0,479.0,27.0,24.0,671.0,491.0,24.0,air
44,672.0,476.0,21.0,21.0,682.0,486.0,21.0,air
45,677.0,466.0,28.0,26.0,692.0,481.0,25.0,air
46,687.0,458.0,25.0,27.0,699.0,471.0,25.0,air
47,687.0,458.0,25.0,27.0,699.0,471.0,25.0,air
48,697.0,455.0,25.0,26.0,709.0,468.0,25.0,air
49,706.0,451.0,21.0,22.0,716.0,462.0,21.0,air
50,712.0,442.0,25.0,26.0,724.0,457.0,23.0,air
51,717.0,437.0,27.0,27.0,731.0,452.0,20.0,air
52,725.0,434.0,26.0,25.0,738.0,446.0,25.0,air
53,725.0,434.0,26.0,25.0,738.0,448.0,20.0,air
54,732.0,430.0,25.0,24.0,743.0,443.0,21.0,air
55,737.0,427.0,24.0,24.0,749.0,440.0,19.0,air
56,742.0,424.0,26.0,25.0,755.0,437.0,19.0,air
57,749.0,422.0,23.0,24.0,760.0,435.0,19.0,air
58,754.0,420.0,23.0,24.0,766.0,433.0,19.0,air
59,754.0,420.0,23.0,24.0,766.0,433.0,19.0,air
60,758.0,418.0,24.0,25.0,770.0,431.0,19.0,air
61,762.0,416.0,24.0,25.0,774.0,429.0,18.0,air
62,765.0,415.0,24.0,23.0,777.0,427.0,18.0,air
63,770.0,413.0,23.0,22.0,781.0,426.0,18.0,air
64,774.0,412.0,23.0,23.0,784.0,426.0,18.0,air
65,774.0,412.0,23.0,23.0,784.0,426.0,18.0,air
66,777.0,412.0,22.0,23.0,787.0,425.0,18.0,air
67,778.0,412.0,22.0,23.0,790.0,425.0,17.0,air
68,782.0,415.0,23.0,21.0,793.0,425.0,21.0,air
69,786.0,417.0,18.0,18.0,795.0,426.0,18.0,air
70,785.0,414.0,21.0,21.0,796.0,427.0,18.0,air
71,785.0,414.0,21.0,21.0,796.0,427.0,18.0,air
72,786.0,417.0,21.0,20.0,797.0,428.0,17.0,air
73,787.0,416.0,22.0,23.0,799.0,429.0,18.0,air
74,788.0,418.0,21.0,22.0,800.0,430.0,16.0,air
75,790.0,421.0,18.0,21.0,799.0,431.0,18.0,air
76,792.0,425.0,17.0,18.0,800.0,434.0,17.0,air
77,791.0,424.0,19.0,22.0,800.0,435.0,19.0,air
78,793.0,427.0,16.0,17.0,801.0,435.0,16.0,air
79,791.0,427.0,20.0,20.0,801.0,439.0,19.0,air
80,792.0,433.0,17.0,17.0,800.0,441.0,17.0,air
81,791.0,432.0,17.0,21.0,799.0,442.0,17.0,air
82,788.0,435.0,21.0,23.0,798.0,446.0,21.0,air
83,789.0,437.0,20.0,20.0,799.0,447.0,20.0,air
84,788.0,439.0,19.0,21.0,797.0,449.0,19.0,air
85,789.0,441.0,18.0,22.0,798.0,452.0,18.0,air
86,786.0,446.0,21.0,19.0,796.0,458.0,16.0,air
87,787.0,453.0,17.0,19.0,795.0,462.0,17.0,air
88,785.0,456.0,19.0,21.0,794.0,466.0,19.0,air
89,786.0,459.0,16.0,17.0,794.0,467.0,16.0,air
90,782.0,460.0,20.0,19.0,792.0,469.0,19.0,air
91,781.0,463.0,18.0,20.0,790.0,473.0,18.0,air
92,777.0,468.0,20.0,20.0,787.0,478.0,20.0,air
