frame,x,y,w,h,center_x,center_y,diameter,air_ground
0,91.00,919.00,28.00,28.00,106.00,936.00,24.56,ground
1,92.00,919.00,27.00,28.00,106.00,936.00,24.52,ground
2,91.00,919.00,28.00,28.00,105.00,935.00,24.36,ground
3,93.00,921.00,25.00,26.00,105.00,934.00,24.33,ground
4,92.00,922.00,26.00,26.00,105.00,935.00,24.34,ground
5,93.00,922.00,25.00,26.00,105.00,935.00,24.30,ground
6,94.00,925.00,24.00,24.00,106.00,937.00,24.21,ground
7,94.00,924.00,23.00,25.00,105.00,936.00,24.09,ground
8,93.00,925.00,24.00,24.00,105.00,937.00,24.01,ground
9,94.00,925.00,23.00,24.00,105.00,937.00,23.89,ground
10,107.00,917.00,21.00,21.00,117.00,927.00,23.70,air
11,110.00,917.00,19.00,20.00,119.00,927.00,23.45,air
12,149.00,884.00,21.00,21.00,159.00,894.00,23.31,air
13,175.00,857.00,23.00,22.00,186.00,868.00,23.22,air
14,208.00,836.00,24.00,23.00,220.00,847.00,23.18,air
15,234.00,815.00,21.00,21.00,244.00,825.00,23.07,air
16,259.00,793.00,22.00,23.00,270.00,804.00,23.01,air
17,260.00,790.00,23.00,25.00,271.00,802.00,22.99,air
18,287.00,771.00,26.00,21.00,300.00,781.00,22.90,air
19,312.00,751.00,25.00,22.00,324.00,762.00,22.86,air
20,341.00,733.00,22.00,23.00,352.00,744.00,22.82,air
21,364.00,709.00,27.00,23.00,377.00,720.00,22.83,air
22,382.00,694.00,27.00,23.00,395.00,705.00,22.84,air
23,385.00,692.00,25.00,26.00,397.00,705.00,22.93,air
24,409.00,679.00,21.00,21.00,419.00,689.00,22.84,air
25,429.00,659.00,23.00,24.00,440.00,671.00,22.85,air
26,447.00,639.00,29.00,24.00,461.00,651.00,22.89,air
27,471.00,627.00,25.00,21.00,483.00,637.00,22.81,air
28,490.00,613.00,24.00,23.00,502.00,624.00,22.82,air
29,489.00,610.00,26.00,27.00,502.00,623.00,22.95,air
30,506.00,599.00,25.00,23.00,518.00,610.00,22.94,air
31,525.00,582.00,25.00,24.00,537.00,594.00,22.97,air
32,540.00,569.00,25.00,24.00,552.00,581.00,22.99,air
33,557.00,558.00,25.00,24.00,569.00,570.00,23.00,air
34,576.00,546.00,25.00,23.00,588.00,557.00,22.97,air
35,574.00,544.00,24.00,26.00,586.00,557.00,22.97,air
36,590.00,534.00,24.00,26.00,602.00,547.00,22.97,air
37,604.00,527.00,23.00,23.00,615.00,538.00,22.92,air
38,617.00,513.00,23.00,25.00,628.00,525.00,22.87,air
39,630.00,507.00,20.00,20.00,640.00,517.00,22.70,air
40,637.00,494.00,26.00,24.00,650.00,506.00,22.71,air
41,639.00,499.00,22.00,22.00,650.00,510.00,22.63,air
42,652.00,491.00,22.00,21.00,663.00,501.00,22.52,air
43,658.00,479.00,27.00,24.00,671.00,491.00,22.53,air
44,672.00,476.00,21.00,21.00,682.00,486.00,22.42,air
45,677.00,466.00,28.00,26.00,692.00,481.00,22.47,air
46,687.00,458.00,25.00,27.00,699.00,471.00,22.51,air
47,687.00,458.00,25.00,27.00,699.00,471.00,22.53,air
48,697.00,455.00,25.00,26.00,709.00,468.00,22.53,air
49,706.00,451.00,21.00,22.00,716.00,462.00,22.36,air
50,712.00,442.00,25.00,26.00,724.00,457.00,22.27,air
51,717.00,437.00,27.00,27.00,731.00,452.00,22.06,air
52,725.00,434.00,26.00,25.00,738.00,446.00,22.06,air
53,725.00,434.00,26.00,25.00,738.00,448.00,21.85,air
54,732.00,430.00,25.00,24.00,743.00,443.00,21.69,air
55,737.00,427.00,24.00,24.00,749.00,440.00,21.45,air
56,742.00,424.00,26.00,25.00,755.00,437.00,21.22,air
57,749.00,422.00,23.00,24.00,760.00,435.00,21.02,air
58,754.00,420.00,23.00,24.00,766.00,433.00,20.83,air
59,754.00,420.00,23.00,24.00,766.00,433.00,20.65,air
60,758.00,418.00,24.00,25.00,770.00,431.00,20.48,air
