frame,fx,fy,cx,cy,cam_x,cam_y,cam_z,r11,r12,r13,r21,r22,r23,r31,r32,r33,recon_error,confidence
0,5281.481753305795,5281.4817533058,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8917212459135105,0.45256268214338635,-0.004498701772838232,-0.09523563723787898,0.19734947554166005,0.9756963451316844,0.4424515713457822,-0.8696207237840047,0.21908081563439596,4.8419443677627525,0.9726407231669698
1,5274.8537298298215,5274.853729829827,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8918027442212481,0.45240239027224183,-0.0044657222723513135,-0.09523743247937522,0.19736892665532924,0.975692235413227,0.4422868942826455,-0.8696997091334949,0.2190997925122854,58.61236036843159,0.29709121342394446
2,5268.46504551139,5268.465045511394,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8918743534145394,0.45226151201809206,-0.004434238210447361,-0.09523837239041336,0.19737939536834626,0.9756900259346979,0.44214227364709513,-0.8697706013835693,0.21911027092092705,4.963790389272689,0.969703719908696
3,5262.315700350501,5262.315700350506,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8919360832244083,0.4521400513193075,-0.0044042519541678815,-0.09523845956677351,0.1973808816087354,0.9756897167617924,0.442017713741938,-0.8698334102391863,0.2191122524415689,5.725133844228166,0.9515746546402074
4,5256.405694347154,5256.405694347158,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8919879420774433,0.4520380115282988,-0.004375765303273493,-0.09523769598685372,0.1973733853068259,0.9756913077585753,0.441913218235847,-0.869888143904758,0.2191057384971279,5.026669621024446,0.9681919338285542
5,5250.735027501349,5250.735027501352,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920299370952021,0.45195539541294705,-0.004348779490474075,-0.09523608301167041,0.1973569063948351,0.9756947985875783,0.44182879016483784,-0.869934809083639,0.2190907303518081,4.941068024813811,0.9702506739985213
6,5245.303699813086,5245.303699813089,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920620740937274,0.45189220515778944,-0.004323295181635739,-0.0952336213848674,0.19733144480656672,0.9757001887098703,0.44176443193349213,-0.8699734109777052,0.21906722911082754,6.9348843589723455,0.9235422251782155
7,5240.111711282365,5240.111711282369,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920843575831784,0.45184844236496147,-0.004299312475964878,-0.09523031123272965,0.19729700047721743,0.9757074773851077,0.44172014531592885,-0.8700039532870244,0.21903523572024597,58.318050946291805,0.29870299073760215
8,5235.159061909187,5235.1590619091885,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920967907675728,0.45182410805489065,-0.004276830906169121,-0.09522615206420298,0.19725357334329685,0.9757166636715526,0.44169593145652,-0.8700264382096115,0.21899475096689913,58.18639302433521,0.29942827135867844
9,5230.445751693551,5230.445751693553,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920993755446418,0.45181920266674824,-0.0042558494385966095,-0.09522114277091984,0.19720116334265897,0.9757277464260725,0.4416917908703537,-0.8700408664412758,0.21894577547843658,5.43418480069821,0.9584576708712331
10,5225.9717806354565,5225.971780635457,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920921125057981,0.45183372605865335,-0.004236366473349934,-0.09521528162723111,0.19713977041464215,0.9757407243041102,0.4417077234434438,-0.8700472371755549,0.21888830972346196,58.17323112797085,0.29950092332419975
11,5221.737148734905,5221.7371487349055,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920750009362144,0.45186767750763274,-0.00421837984438006,-0.09520856629024294,0.1970693945003255,0.9757555957596308,0.4417437284326851,-0.8700455481037378,0.21882235401178057,58.27464293025902,0.2989418260862865
12,5217.741855991895,5217.741855991894,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920480388150159,0.45192105570933494,-0.00420188681955444,-0.09520099379986022,0.19699003554289096,0.9757723590450438,0.44179980446555556,-0.8700357954149767,0.2187479084947468,59.07409359859924,0.2945888433562563
13,5213.985902406427,5213.985902406427,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8920112228155841,0.4519938587774995,-0.004186884100705002,-0.09519256057883613,0.196901693488102,0.9757910122110997,0.4418759495395642,-0.8700179737964865,0.21866497316572014,60.33208586456421,0.2879311249255495
14,5210.469287978501,5210.469287978501,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.891964548305972,0.4520860842431804,-0.004173367823651658,-0.09518326243282679,0.19680436828488945,0.9758115531067613,0.4419721610214462,-0.8699920764338338,0.21857354786062122,58.766636900313095,0.29625155081279797
15,5207.1920127081175,5207.192012708117,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8919080093494347,0.45219772905372513,-0.004161333558204167,-0.09517309455045322,0.19669805988605177,0.9758339793790508,0.4420884356461039,-0.8699580950113156,0.21847363225859479,61.262375822399626,0.2831546346780704
16,5204.154076595276,5204.154076595275,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8918415987050695,0.4523287895715081,-0.004150776308141257,-0.09516205150336995,0.19658276824906562,0.9758582884728727,0.44222476951529516,-0.8699160197124253,0.21836522588277563,8.45752862692368,0.8895672387928497
17,5201.355479639977,5201.355479639976,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8917653078285719,0.4524792615724198,-0.004141690511167917,-0.09515012724633867,0.19645849333700588,0.9758844776308101,0.4423811580960678,-0.8698658392204118,0.21824832810115763,61.38493687042679,0.2825344717003319
18,5198.796221842219,5198.796221842218,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8916791268731038,0.4526491402441115,-0.004134070038850801,-0.09513731511731116,0.19632523511958166,0.9759125438928996,0.44255759621894286,-0.8698075407189271,0.21812293812756933,5.771353160413442,0.9504863297479856
19,5196.476303202005,5196.476303202003,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.891583044690277,0.4528384201839948,-0.004127908196532054,-0.09512360783751764,0.19618299357427876,0.9759424840963777,0.44275407807584255,-0.8697411098927648,0.21798905502275184,61.39285389789001,0.28249448354073436
20,5194.395723719332,5194.395723719329,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8914770488312518,0.4530470953969987,-0.004123197723221755,-0.09510899751156396,0.1960317686876169,0.9759742948754081,0.44297059721776955,-0.869666530928693,0.21784667769554172,64.83766273645313,0.26590032786373236
21,5192.5544833942,5192.5544833941985,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8913611255479483,0.4532751592930814,-0.004119930791469606,-0.09509347562753653,0.19587156045651732,0.9760079726607791,0.44320714655223004,-0.8695837865163774,0.21769580490415863,5.495834451331347,0.9569945878680471
22,5190.952582226612,5190.95258222661,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.891235259794379,0.45352260468449923,-0.0041180990072162416,-0.0950770330571151,0.19570236888978154,0.976043513679582,0.44346371834040954,-0.8694928578493992,0.21753643525759692,62.96792487063448,0.2747106535907893
23,5189.590020216566,5189.590020216563,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8910994352280948,0.45378942378283305,-0.004117693409623868,-0.0950596600556948,0.19552419400968074,0.9760809139548632,0.44374030419409394,-0.8693937246263683,0.21736856721712067,62.96792487063448,0.2747106535907893
24,5188.466797364061,5188.466797364059,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8909536342117488,0.45407560819577086,-0.004118704470887913,-0.09504134626251873,0.1953370358536599,0.9761201693052521,0.4440368950723416,-0.8692863650521312,0.21719219909786702,6.915147194635157,0.923992087835867
25,5187.582913669099,5187.582913669096,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8907978378147836,0.4543811489236502,-0.00412112209602955,-0.09502208070081819,0.19514089447614957,0.9761612753445692,0.4443534812779056,-0.8691707558390769,0.21700732907055043,65.48729726242006,0.2629443467749829
26,5186.938369131679,5186.938369131676,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8906320258152334,0.4547060363557562,-0.0041249356226683576,-0.09500185177796533,0.194935769950491,0.9762042274814049,0.44469005245340365,-0.8690468722085403,0.21681395516327373,6.66756996780316,0.9296559505805136
27,5186.533163751801,5186.5331637517975,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.890456176701651,0.4550502602663806,-0.004130133820778509,-0.09498064728563563,0.1947216623709725,0.9762490209186828,0.4450465975772424,-0.8689146878923065,0.21661207526344367,6.101521718464181,0.942752209083606
28,5186.367297529466,5186.367297529462,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.890270267675155,0.4554138098106387,-0.004136704892426291,-0.0949584543999831,0.19449857185497738,0.9762956506531925,0.4454231049592892,-0.8687741751342136,0.21640168711979219,345.5732129277863,0.10002640408004175
29,5186.440770464672,5186.440770464667,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8900742746516039,0.45579667352004744,-0.004144636471491159,-0.09493525968182698,0.19426649854524358,0.9763441114751066,0.44581956223629937,-0.8686253046918622,0.2161827883445031,60.99201922342114,0.2845301066809469
30,5186.7535825574205,5186.753582557417,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8898681722638909,0.4561988392978619,-0.004153915623370308,-0.09491104907685216,0.1940254426122343,0.9763943979674701,0.44623595636709273,-0.8684680458384237,0.2159553764154437,351.8583130060471,0.10001518977182432
31,5187.305733807711,5187.305733807706,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8896519338643702,0.45662029441417573,-0.004164528844667698,-0.09488580791582249,0.19377540425661943,0.9764465045056722,0.4466722736274865,-0.8683023663645605,0.21571944867850135,362.6075911239273,0.1
32,5188.097224215543,5188.097224215539,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8894255315274078,0.4570610255007811,-0.004176462062868064,-0.09485952091481029,0.1935163837118709,0.9765004252568928,0.44712849960498036,-0.868128232580449,0.21547500235002853,5.2799330872353645,0.9621293585378434
33,5189.128053780918,5189.128053780913,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.889188936052064,0.4575210185457924,-0.004189700635997218,-0.09483217217543874,0.19324838124696608,0.9765561541795307,0.44760461919319655,-0.8679456093179159,0.21522203451939004,5.748667539603219,0.9510203334956883
34,5190.398222503835,5190.398222503831,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8889421169649063,0.4580002588880325,-0.004204229352268052,-0.09480374518514384,0.1929713971692067,0.9766136850226066,0.4481006165860761,-0.8677544599326816,0.21496054215162125,326.11249645460407,0.1000765208926464
35,5191.907730384294,5191.90773038429,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8886850425229553,0.45849873121118345,-0.0042200324297150815,-0.09477422281744993,0.19268543182714543,0.976673011325149,0.4486164752718309,-0.8675547463067222,0.21469052209018752,5.944012768373015,0.946433007054922
36,5193.656577422295,5193.656577422291,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8884176797167679,0.45901641953770345,-0.004237093515816609,-0.09474358733226607,0.1923904856136266,0.9767341264155597,0.4491521780266551,-0.867346428850745,0.21441197105985477,6.688799923735086,0.9291687473654532
37,5195.644763617838,5195.6447636178345,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8881399942736523,0.45955330722250654,-0.004255395687105645,-0.09471182037619974,0.1920865589689365,0.9767970234109542,0.4497077069081914,-0.8671294665067786,0.21412488566966342,335.43304783034966,0.1000491583445835
38,5197.872288970924,5197.87228897092,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8878519506610272,0.460109376946412,-0.0042749214487715625,-0.09467890298289067,0.19177365238406496,0.9768616952164886,0.4502830432487604,-0.8669038167508896,0.21382926241600952,332.80654332720303,0.10005616916529053
39,5200.339153481552,5200.339153481547,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8875535120899194,0.46068461070936134,-0.004295652734253086,-0.09464481557336729,0.19145176640408285,0.9769281345246639,0.45087816764834865,-0.8666694355960181,0.21352509768583855,5.0254550752034985,0.9682211098782438
40,5203.045357149721,5203.045357149717,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8872446405186025,0.4612789898234018,-0.004317570904821766,-0.0946095379564223,0.19112090163162238,0.9769963338146098,0.45149305996735817,-0.8664262775949366,0.21321238775993717,17.9939109368575,0.7064496901795508
41,5205.990899975433,5205.990899975429,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8869252966563829,0.4618924949054416,-0.004340656749159899,-0.0945730493290142,0.1907810587304769,0.9770662853513524,0.45212769931911856,-0.8661742958433395,0.21289112881634076,5.675557513521052,0.952743575102003
42,5209.175781958687,5209.175781958684,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8865954399675333,0.4625251058697767,-0.004364890482931788,-0.094535328276691,0.1904322384293074,0.9771379811850635,0.4527820640621648,-0.8659134419830629,0.21256131693384456,6.309138954311028,0.9379248815719603
43,5212.600003099484,5212.60000309948,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8862550286753741,0.4631768019203881,-0.004390251748350005,-0.09449635277404131,0.1900744415254611,0.9772114131502908,0.45345613179227856,-0.8656436662054346,0.21222294809562442,4.0460513926823936,0.9920705974009014
44,5216.263563397822,5216.263563397818,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8859040197665062,0.4638475615430131,-0.00441671961373849,-0.09445610018516923,0.18970766888890117,0.9772865728651695,0.4541498793342953,-0.8653649172547612,0.21187601819296414,6.147500953185049,0.9416807498940516
45,5220.166462853702,5220.166462853699,959.5,539.5,1.176099194609868,69.72338730444102,-17.491265859010042,0.8855423689952016,0.4645373624969926,-0.004444272573092212,-0.0944145472642007,0.1893319214662486,0.9773634517306211,0.45486328273368287,-0.8650771424319543,0.2115205230290947,5.367366740482522,0.9600462323892839
