frame,ball_x,ball_y,ball_z,center_x,center_y,diameter,depth,air_ground
0,18.356357,14.562840,-0.110000,106.000000,936.000000,23.980000,60.342891,ground
1,18.351878,14.521720,-0.110000,106.000000,936.000000,23.950000,60.347612,ground
2,18.347222,14.490718,-0.110000,105.000000,935.000000,23.920000,60.392585,ground
3,18.343947,14.460825,-0.110000,105.000000,934.000000,23.870000,60.437628,ground
4,18.339475,14.451495,-0.110000,105.000000,935.000000,23.820000,60.409764,ground
5,18.327540,14.485571,-0.110000,105.000000,935.000000,23.780000,60.420654,ground
6,18.323320,14.489612,-0.110000,106.000000,937.000000,23.730000,60.356781,ground
7,18.316960,14.494346,-0.110000,105.000000,936.000000,23.680000,60.409650,ground
8,18.315506,14.487225,-0.110000,105.000000,937.000000,23.630000,60.387696,ground
9,18.317792,14.467697,-0.110000,105.000000,937.000000,23.580000,60.404670,ground
10,17.937893,15.664472,-0.487890,117.000000,927.000000,23.520000,49.685907,air
11,17.581820,16.852974,-0.874244,119.000000,927.000000,23.470000,49.739539,air
12,17.262639,18.056792,-1.286988,159.000000,894.000000,23.420000,49.719028,air
13,16.992854,19.312743,-1.752829,186.000000,868.000000,23.370000,49.727350,air
14,16.788598,20.641018,-2.295804,220.000000,847.000000,23.310000,49.755410,air
15,16.672019,22.007567,-2.917135,244.000000,825.000000,23.260000,49.779767,air
16,16.668275,23.300671,-3.576909,270.000000,804.000000,23.200000,49.828089,air
17,16.795247,24.353615,-4.196502,271.000000,802.000000,23.150000,49.898951,air
18,17.049071,25.019940,-4.691071,300.000000,781.000000,23.090000,49.951461,air
19,17.396134,25.251078,-5.011201,324.000000,762.000000,23.040000,49.993985,air
20,17.779003,25.113151,-5.159590,352.000000,744.000000,22.980000,50.058658,air
21,18.136659,24.749168,-5.181203,377.000000,720.000000,22.920000,50.129455,air
22,18.429477,24.321814,-5.141774,395.000000,705.000000,22.860000,50.215345,air
23,18.654245,23.963958,-5.106046,397.000000,705.000000,22.800000,50.326133,air
24,18.837733,23.749526,-5.120148,419.000000,689.000000,22.740000,50.415062,air
25,19.014497,23.687753,-5.201330,440.000000,671.000000,22.680000,50.508955,air
26,19.206014,23.737179,-5.338479,461.000000,651.000000,22.620000,50.607010,air
27,19.414404,23.831289,-5.503104,483.000000,637.000000,22.560000,50.710000,air
28,19.631079,23.906151,-5.664851,502.000000,624.000000,22.500000,50.820232,air
29,19.850194,23.921154,-5.803754,502.000000,623.000000,22.440000,50.952562,air
30,20.073454,23.866251,-5.913873,518.000000,610.000000,22.370000,51.095806,air
31,20.304291,23.755684,-5.999319,537.000000,594.000000,22.310000,51.217773,air
32,20.540535,23.614802,-6.067895,552.000000,581.000000,22.240000,51.370705,air
