frame,time,air_ground,polynomial_x,polynomial_y,polynomial_z,bezier_x,bezier_y,bezier_z,exponential_x,exponential_y,exponential_z,mu_s_x,mu_s_y,mu_s_z,ball_x,ball_y,ball_z
9,0.000000,ground,18.317792,14.467697,-0.110000,18.317792,14.467697,-0.110000,18.317792,14.467697,-0.110000,18.317792,14.467697,-0.110000,18.317792,14.467697,-0.110000
10,0.033333,air,18.379957,14.939285,-0.405644,18.328237,15.256549,-0.514035,18.108831,15.829233,-0.609931,18.379957,15.106887,-0.405643,18.108831,15.829233,-0.609931
11,0.066667,air,18.445800,15.396857,-0.695198,18.346261,16.007460,-0.903806,17.945494,17.052761,-1.081297,18.445800,15.771451,-0.695196,17.945494,17.052761,-1.081297
12,0.100000,air,18.515320,15.840412,-0.978662,18.371761,16.721047,-1.279526,17.823378,18.149570,-1.525479,18.515320,16.441200,-0.978660,17.823378,18.149570,-1.525479
13,0.133333,air,18.588518,16.269950,-1.256037,18.404638,17.397928,-1.641403,17.738506,19.130025,-1.943790,18.588518,17.092942,-1.256035,17.738506,19.130025,-1.943790
14,0.166667,air,18.665394,16.685471,-1.527322,18.444790,18.038719,-1.989651,17.687285,20.003641,-2.337480,18.665394,17.706836,-1.527320,17.687285,20.003641,-2.337480
15,0.200000,air,18.745947,17.086976,-1.792518,18.492118,18.644037,-2.324478,17.666468,20.779158,-2.707740,18.745947,18.270689,-1.792515,17.666468,20.779158,-2.707740
16,0.233333,air,18.830177,17.474463,-2.051625,18.546521,19.214500,-2.646097,17.673122,21.464599,-3.055702,18.830177,18.780586,-2.051620,17.673122,21.464599,-3.055702
17,0.266667,air,18.918086,17.847934,-2.304641,18.607898,19.750724,-2.954717,17.704595,22.067331,-3.382443,18.918086,19.238805,-2.304637,17.704595,22.067331,-3.382443
18,0.300000,air,19.009672,18.207389,-2.551568,18.676148,20.253326,-3.250549,17.758495,22.594120,-3.688988,19.009672,19.650947,-2.551563,17.758495,22.594120,-3.688988
