frame,center_x,center_y,diameter,air_ground,ball_x_raw,ball_y_raw,ball_z_raw,ball_x_fitted,ball_y_fitted,ball_z_fitted,cam_x,cam_y,cam_z,roll,pitch,yaw
0,106.000000,936.000000,23.980000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.780388,-26.105172,-6.113765
1,106.000000,936.000000,23.950000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.788005,-26.109119,-6.111500
2,105.000000,935.000000,23.920000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.795806,-26.113944,-6.109304
3,105.000000,934.000000,23.870000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.803792,-26.119645,-6.107177
4,105.000000,935.000000,23.820000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.811963,-26.126223,-6.105117
5,105.000000,935.000000,23.780000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.820319,-26.133677,-6.103126
6,106.000000,937.000000,23.730000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.828860,-26.142008,-6.101202
7,105.000000,936.000000,23.680000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.837587,-26.151216,-6.099346
8,105.000000,937.000000,23.630000,ground,,,,,,,1.176099,69.723387,-17.491266,-75.846499,-26.161300,-6.097557
9,105.000000,937.000000,23.580000,ground,,,,18.317792,14.467697,-0.110000,1.176099,69.723387,-17.491266,-75.855597,-26.172260,-6.095835
10,117.000000,927.000000,23.520000,air,,,,18.108831,15.829233,-0.609931,1.176099,69.723387,-17.491266,-75.864881,-26.184097,-6.094179
11,119.000000,927.000000,23.470000,air,,,,17.945494,17.052761,-1.081297,1.176099,69.723387,-17.491266,-75.874351,-26.196811,-6.092589
12,159.000000,894.000000,23.420000,air,,,,17.823378,18.149570,-1.525479,1.176099,69.723387,-17.491266,-75.884008,-26.210402,-6.091065
13,186.000000,868.000000,23.370000,air,,,,17.738506,19.130025,-1.943790,1.176099,69.723387,-17.491266,-75.893850,-26.224869,-6.089607
14,220.000000,847.000000,23.310000,air,,,,17.687285,20.003641,-2.337480,1.176099,69.723387,-17.491266,-75.903880,-26.240212,-6.088214
15,244.000000,825.000000,23.260000,air,,,,17.666468,20.779158,-2.707740,1.176099,69.723387,-17.491266,-75.914096,-26.256433,-6.086886
16,270.000000,804.000000,23.200000,air,,,,17.673122,21.464599,-3.055702,1.176099,69.723387,-17.491266,-75.924498,-26.273530,-6.085622
17,271.000000,802.000000,23.150000,air,,,,17.704595,22.067331,-3.382443,1.176099,69.723387,-17.491266,-75.935088,-26.291503,-6.084423
